,title,price,link
0,1,3,1
1,2,4,2
2,"Acer [Smartchoice] Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","28,999",www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzUxMjkyODc4NzY5MTc3OjE3MTk0MTExNTk6c3BfYXRmOjMwMDE5MzkwOTY5NzAzMjo6MDo6&url=%2FAcer-Smartchoice-Premium-Windows-AL15-41%2Fdp%2FB0CWTSF1TK%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3IVMJHJ84VNQX%26dib%3DeyJ2IjoiMSJ9.fqCoVUInmrOM2rwjNyfhkGZ0betsjBF1OJtxP5lalVMjHJvBFGIgr7v7_HAuGYWwkDiMpQD3GcbNzJKfTBREqcN_MXdd8MgbhRfj4d16p1zS-timDo_eiPEGE0hyeMcPrtTi5iShizKa0ztmYGfFc1-XZaUYR-WxuCpgcH_o5tkuBjCwUP-RnU2A-BGSvM972tQK1sp93LmmVGEwTnIgVa3wjO6945wX_Zzf_IRFjl4.cNTrKzZLAB7BpbIDaOqnVEBTIOwLR9aMWDx-geZeW5U%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1719411159%26sprefix%3Dlap%252Caps%252C194%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
3,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon graphics, Thin & light, Dual speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU  ","31,990",www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MzUxMjkyODc4NzY5MTc3OjE3MTk0MTExNTk6c3BfYXRmOjMwMDIyMTgzNTQyNTEzMjo6MDo6&url=%2FHP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au%2Fdp%2FB09R1MMMTH%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3IVMJHJ84VNQX%26dib%3DeyJ2IjoiMSJ9.fqCoVUInmrOM2rwjNyfhkGZ0betsjBF1OJtxP5lalVMjHJvBFGIgr7v7_HAuGYWwkDiMpQD3GcbNzJKfTBREqcN_MXdd8MgbhRfj4d16p1zS-timDo_eiPEGE0hyeMcPrtTi5iShizKa0ztmYGfFc1-XZaUYR-WxuCpgcH_o5tkuBjCwUP-RnU2A-BGSvM972tQK1sp93LmmVGEwTnIgVa3wjO6945wX_Zzf_IRFjl4.cNTrKzZLAB7BpbIDaOqnVEBTIOwLR9aMWDx-geZeW5U%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1719411159%26sprefix%3Dlap%252Caps%252C194%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
4,"Dell 14 Thin & Light Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/1.48kg  ","35,990",www.amazon.in/Dell-14-Rheinland-Certified-Comfortview/dp/B0BQJ9HZPP/ref=sr_1_6?crid=3IVMJHJ84VNQX&dib=eyJ2IjoiMSJ9.fqCoVUInmrOM2rwjNyfhkGZ0betsjBF1OJtxP5lalVMjHJvBFGIgr7v7_HAuGYWwkDiMpQD3GcbNzJKfTBREqcN_MXdd8MgbhRfj4d16p1zS-timDo_eiPEGE0hyeMcPrtTi5iShizKa0ztmYGfFc1-XZaUYR-WxuCpgcH_o5tkuBjCwUP-RnU2A-BGSvM972tQK1sp93LmmVGEwTnIgVa3wjO6945wX_Zzf_IRFjl4.cNTrKzZLAB7BpbIDaOqnVEBTIOwLR9aMWDx-geZeW5U&dib_tag=se&keywords=laptop&qid=1719411159&sprefix=lap%2Caps%2C194&sr=8-6
5,"MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050, Cosmos Gray/1.86Kg), B12UCX-1695IN  ","52,990",www.amazon.in/MSI-i5-12450H-Windows-GeForce-B12UCX-1695IN/dp/B0CV9S9VTD/ref=sr_1_72?crid=3IVMJHJ84VNQX&dib=eyJ2IjoiMSJ9.wV5triHlpAtJxOw8L-rIGuIb9U0LRLgyB9JsyUpfwDrJR-u3msjRujFYvbOJbQ3Dmm-vXBPvoQKf2OyOG-N8KGW5epmcg6P-OAZrrg__OLoxyDKZAHWTfYAuB4gtwlTGPvw7z_2-WmgZTagxk_XXFpVQ62oVuugONueyh6SLkSnggJlQXrPbxalzDdvSyHDZJ0Whx88MORpoG0u4jtTglMPlq1_RB29yqck_q20wx_k.JUhnWtrdokLVd0aoTDCKIfknbXywcxqYHXrp0Y97sAQ&dib_tag=se&keywords=laptop&qid=1719411177&sprefix=lap%2Caps%2C194&sr=8-72
6,"Lenovo ThinkPad E14 AMD Ryzen 5 7530U 14"" (35.56 cm) WUXGA IPS 300 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/AMD Radeon Graphics/Backlit Keyboard/FPR/Black/1.41 kg), 21JRS00T00  ","47,990",www.amazon.in/Lenovo-ThinkPad-Graphics-Keyboard-21JRS00T00/dp/B0C7J16NYC/ref=sr_1_73?crid=3IVMJHJ84VNQX&dib=eyJ2IjoiMSJ9.wV5triHlpAtJxOw8L-rIGuIb9U0LRLgyB9JsyUpfwDrJR-u3msjRujFYvbOJbQ3Dmm-vXBPvoQKf2OyOG-N8KGW5epmcg6P-OAZrrg__OLoxyDKZAHWTfYAuB4gtwlTGPvw7z_2-WmgZTagxk_XXFpVQ62oVuugONueyh6SLkSnggJlQXrPbxalzDdvSyHDZJ0Whx88MORpoG0u4jtTglMPlq1_RB29yqck_q20wx_k.JUhnWtrdokLVd0aoTDCKIfknbXywcxqYHXrp0Y97sAQ&dib_tag=se&keywords=laptop&qid=1719411177&sprefix=lap%2Caps%2C194&sr=8-73
7,"ASUS Vivobook 16X, AMD Ryzen 7 5800HS, 16"" (40.64 cm) WUXGA, Thin & Light Laptop (16GB RAM/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Backlit/Fingerprint/Silver/1.88 kg), M1603QA-MB742WS  ","57,990",www.amazon.in/ASUS-Vivobook-Integrated-Fingerprint-M1603QA-MB742WS/dp/B0C1YY11X3/ref=sr_1_74?crid=3IVMJHJ84VNQX&dib=eyJ2IjoiMSJ9.wV5triHlpAtJxOw8L-rIGuIb9U0LRLgyB9JsyUpfwDrJR-u3msjRujFYvbOJbQ3Dmm-vXBPvoQKf2OyOG-N8KGW5epmcg6P-OAZrrg__OLoxyDKZAHWTfYAuB4gtwlTGPvw7z_2-WmgZTagxk_XXFpVQ62oVuugONueyh6SLkSnggJlQXrPbxalzDdvSyHDZJ0Whx88MORpoG0u4jtTglMPlq1_RB29yqck_q20wx_k.JUhnWtrdokLVd0aoTDCKIfknbXywcxqYHXrp0Y97sAQ&dib_tag=se&keywords=laptop&qid=1719411177&sprefix=lap%2Caps%2C194&sr=8-74
8,"Lenovo Yoga Slim 6 Intel Core i7 13700H 14""(35.5cm)WUXGA OLED 400Nit Laptop(16GB/512GB SSD/60Hz Refresh/Win 11/Office 2021/Backlit KB/1Yr Warranty/Alexa/3 month Game Pass/Storm Grey/1.35Kg),83E00007IN  ","88,190",www.amazon.in/sspa/click?ie=UTF8&spc=MTozODg0NjA3MzAzMTExNzc6MTcxOTQxMTE3NzpzcF9tdGY6MzAwMTU2NTczNjQxNTMyOjowOjo&url=%2FLenovo-13700H-Backlit-Warranty-83E00007IN%2Fdp%2FB0CGM3D323%2Fref%3Dsr_1_75_sspa%3Fcrid%3D3IVMJHJ84VNQX%26dib%3DeyJ2IjoiMSJ9.wV5triHlpAtJxOw8L-rIGuIb9U0LRLgyB9JsyUpfwDrJR-u3msjRujFYvbOJbQ3Dmm-vXBPvoQKf2OyOG-N8KGW5epmcg6P-OAZrrg__OLoxyDKZAHWTfYAuB4gtwlTGPvw7z_2-WmgZTagxk_XXFpVQ62oVuugONueyh6SLkSnggJlQXrPbxalzDdvSyHDZJ0Whx88MORpoG0u4jtTglMPlq1_RB29yqck_q20wx_k.JUhnWtrdokLVd0aoTDCKIfknbXywcxqYHXrp0Y97sAQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1719411177%26sprefix%3Dlap%252Caps%252C194%26sr%3D8-75-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
9,"HP Victus Windows 11 Home Gaming Laptop,Amd Ryzen 7 7840Hs Ai Powered,6Gb Rtx 3050 Gpu,16.1-Inch (40.9 Cm),95W Tgp,Fhd,IPS,144Hz,16Gb Ddr5,1Tb Ssd,Rgb Backlit Kb,B&O (Mso,Blue,2.29 Kg),S0089Ax  ","84,990",www.amazon.in/sspa/click?ie=UTF8&spc=MTozODg0NjA3MzAzMTExNzc6MTcxOTQxMTE3NzpzcF9tdGY6MzAwMjIxODQwMTQzNDMyOjowOjo&url=%2FHP-Powered-16-1-inch-Backlit-s0089AX%2Fdp%2FB0CNR7KRSC%2Fref%3Dsr_1_76_sspa%3Fcrid%3D3IVMJHJ84VNQX%26dib%3DeyJ2IjoiMSJ9.wV5triHlpAtJxOw8L-rIGuIb9U0LRLgyB9JsyUpfwDrJR-u3msjRujFYvbOJbQ3Dmm-vXBPvoQKf2OyOG-N8KGW5epmcg6P-OAZrrg__OLoxyDKZAHWTfYAuB4gtwlTGPvw7z_2-WmgZTagxk_XXFpVQ62oVuugONueyh6SLkSnggJlQXrPbxalzDdvSyHDZJ0Whx88MORpoG0u4jtTglMPlq1_RB29yqck_q20wx_k.JUhnWtrdokLVd0aoTDCKIfknbXywcxqYHXrp0Y97sAQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1719411177%26sprefix%3Dlap%252Caps%252C194%26sr%3D8-76-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
